,pos,win
138,"[[8533,2648],[5367,8546]]",0
139,"[[3455,6541],[5647,7635]]",1
140,"[[6789,4941],[2196,8394],[7444,9904]]",1
141,"[[6911,5392],[6137,8540]]",0
142,"[[7344,4899],[8442,6349]]",0
143,"[[4796,8456]]",1
144,"[[12308,3306]]",0
145,"[[5779,8417]]",1
146,"[[12510,3170]]",1
147,"[[7197,5136],[9113,2420],[3419,10258]]",1
148,"[[5720,5382]]",1
149,"[[8328,3554],[11326,5861]]",1
150,"[[8534,2723],[5702,7385]]",0
151,"[[4121,5973],[1190,972]]",1
152,"[[3477,8703]]",0
153,"[[11095,4525]]",0
154,"[[5229,8582]]",0
155,"[[8415,2694],[8004,10371]]",1
156,"[[6776,5032],[4098,11611]]",1
157,"[[7364,5205],[3595,7071],[2308,8537]]",0
158,"[[4659,5901]]",0
159,"[[7444,4934],[3105,8040],[2097,8497],[10662,1398]]",0
160,"[[7397,5006],[7720,8002]]",1
161,"[[8274,2644],[4004,10242]]",0
162,"[[10557,5384],[2296,8455]]",1
163,"[[4444,9744],[6837,11390],[9573,5514]]",1
164,"[[10225,5597],[7903,2262]]",0
165,"[[2765,8316],[7842,10753]]",1
166,"[[2403,8366],[7355,7319]]",0
167,"[[4787,7104]]",0
168,"[[7998,2372],[6380,4913],[2634,3320]]",0
169,"[[8133,2286],[10947,4700],[5483,8828]]",0
170,"[[5335,12486]]",1
171,"[[6751,4347]]",1
172,"[[7250,4808],[3615,6317],[3714,874]]",1
173,"[[5193,7567]]",1
174,"[[3572,6534],[3769,12705]]",0
175,"[[11078,6951],[11460,5724]]",1
176,"[[11352,4504]]",1
177,"[[6927,5066],[2270,8517],[6025,9430]]",0
178,"[[4810,7882]]",1
179,"[[3563,8644]]",1
180,"[[8591,2370],[8596,6502]]",1
181,"[[9710,2572]]",1
182,"[[11523,6541],[7547,8072]]",1
183,"[[3669,8605],[7905,4140],[7854,8224]]",1
184,"[[3621,6516],[3025,10959]]",1
185,"[[2819,8046],[9745,5588]]",0
186,"[[6869,4920],[2251,8535],[2781,817]]",0
187,"[[3248,8735]]",0
188,"[[4670,6972]]",0
189,"[[3619,7969],[2647,8162],[6100,8297]]",1
190,"[[830,687],[3893,6232]]",1
191,"[[5951,5066]]",0
192,"[[2795,8080],[7191,5137],[8300,2388]]",1
193,"[[4812,7841]]",1
194,"[[6230,9277]]",1
195,"[[8049,7824]]",0
196,"[[12808,3051]]",0
197,"[[8001,2280],[4417,9335],[4102,7297],[2376,690]]",0
198,"[[8332,2393],[11420,4750]]",0
199,"[[9129,5837]]",1
200,"[[7120,5369],[3356,7814],[5597,6207]]",1
201,"[[6835,5077],[3171,11535]]",0
202,"[[7503,3923],[3944,8010],[3288,868]]",0
203,"[[8637,2378],[4728,7949]]",0
204,"[[3786,6703],[757,495],[6685,4790]]",0
205,"[[6915,4208]]",1
206,"[[7760,5241]]",0
207,"[[7052,5403],[6201,10255]]",1
208,"[[5744,5341]]",1
209,"[[7852,2302],[10999,5074],[3470,8941]]",1
210,"[[3547,6404],[6849,8130]]",1
211,"[[6217,8589]]",0
212,"[[8731,2420],[9963,7642]]",1
213,"[[8579,2410],[3695,9077]]",0
214,"[[8724,2376],[7069,8073]]",1
215,"[[5040,8431]]",0
216,"[[3261,8353],[7153,3106]]",1
217,"[[4822,7974]]",0
218,"[[8071,3515],[8281,2315]]",1
219,"[[8558,2435],[11400,8245],[4614,2860]]",0
220,"[[7111,4992],[3130,7825],[6469,9735]]",0
